,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
42,frozenset({'Total_Income_for_Join_Application_Medium'}),frozenset({'Credit_Card_types_normal'}),0.5838297872340426,0.6331914893617021,0.3727659574468085,0.6384839650145773,1.0083584124894198,0.0030899049343594553,1.0146396705559368
43,frozenset({'Credit_Card_types_normal'}),frozenset({'Total_Income_for_Join_Application_Medium'}),0.6331914893617021,0.5838297872340426,0.3727659574468085,0.5887096774193549,1.0083584124894198,0.0030899049343594553,1.0118648310387985
44,frozenset({'More_Than_One_Products_yes'}),frozenset({'Years_for_Property_to_Completion_10.0'}),0.5,0.737872340425532,0.3702127659574468,0.7404255319148936,1.0034602076124566,0.0012765957446808085,1.0098360655737701
45,frozenset({'Years_for_Property_to_Completion_10.0'}),frozenset({'More_Than_One_Products_yes'}),0.737872340425532,0.5,0.3702127659574468,0.5017301038062283,1.0034602076124566,0.0012765957446808085,1.003472222222222
46,frozenset({'More_Than_One_Products_yes'}),frozenset({'Number_of_Bank_Products_1.0'}),0.5,0.725531914893617,0.3676595744680851,0.7353191489361702,1.0134897360703812,0.004893617021276608,1.036977491961415
47,frozenset({'Number_of_Bank_Products_1.0'}),frozenset({'More_Than_One_Products_yes'}),0.725531914893617,0.5,0.3676595744680851,0.5067448680351906,1.0134897360703812,0.004893617021276608,1.0136741973840666
48,frozenset({'Monthly_Salary_Medium'}),frozenset({'Decision_Accept'}),0.4757446808510638,0.7527659574468085,0.36638297872340425,0.7701252236135957,1.0230606418835217,0.008258578542326867,1.0755161851146617
49,frozenset({'Decision_Accept'}),frozenset({'Monthly_Salary_Medium'}),0.7527659574468085,0.4757446808510638,0.36638297872340425,0.48671565856416055,1.0230606418835217,0.008258578542326867,1.0213740744212205
50,frozenset({'Total_Sum_of_Loan_Medium'}),frozenset({'Number_of_Properties_2.0'}),0.4221276595744681,0.8617021276595744,0.3646808510638298,0.8639112903225807,1.0025637196336123,0.0009325486645541115,1.016233254531128
51,frozenset({'Number_of_Properties_2.0'}),frozenset({'Total_Sum_of_Loan_Medium'}),0.8617021276595744,0.4221276595744681,0.3646808510638298,0.4232098765432099,1.0025637196336121,0.0009325486645541115,1.0018762751384438
52,frozenset({'Total_Income_for_Join_Application_Medium'}),"frozenset({'Number_of_Properties_2.0', 'Years_for_Property_to_Completion_10.0'})",0.5838297872340426,0.62,0.36425531914893616,0.6239067055393586,1.0063011379667073,0.002280851063829803,1.0103875968992246
53,"frozenset({'Number_of_Properties_2.0', 'Years_for_Property_to_Completion_10.0'})",frozenset({'Total_Income_for_Join_Application_Medium'}),0.62,0.5838297872340426,0.36425531914893616,0.5875085792724777,1.0063011379667075,0.002280851063829803,1.00891846921797
54,"frozenset({'Number_of_Side_Income_3.0', 'Decision_Accept'})",frozenset({'Number_of_Properties_2.0'}),0.41617021276595745,0.8617021276595744,0.3638297872340426,0.8742331288343559,1.0145421495114748,0.005215029425079287,1.0996367410482624
55,frozenset({'Number_of_Side_Income_3.0'}),"frozenset({'Number_of_Properties_2.0', 'Decision_Accept'})",0.5497872340425531,0.645531914893617,0.3638297872340426,0.661764705882353,1.0251463802396372,0.008924581258488051,1.0479925994449586
56,"frozenset({'Number_of_Properties_2.0', 'Decision_Accept'})",frozenset({'Number_of_Side_Income_3.0'}),0.645531914893617,0.5497872340425531,0.3638297872340426,0.5636123928806855,1.025146380239637,0.008924581258488051,1.0316809153435753
57,frozenset({'Number_of_Properties_2.0'}),"frozenset({'Number_of_Side_Income_3.0', 'Decision_Accept'})",0.8617021276595744,0.41617021276595745,0.3638297872340426,0.4222222222222223,1.0145421495114748,0.005215029425079287,1.0104746317512276
58,"frozenset({'Number_of_Bank_Products_1.0', 'Number_of_Dependents_2'})",frozenset({'Number_of_Properties_2.0'}),0.3974468085106383,0.8617021276595744,0.36127659574468085,0.9089935760171306,1.0548814338964232,0.018795835219556356,1.5196495619524406
59,"frozenset({'Number_of_Properties_2.0', 'Number_of_Dependents_2'})",frozenset({'Number_of_Bank_Products_1.0'}),0.4548936170212766,0.725531914893617,0.36127659574468085,0.7942001870907389,1.0946454191573234,0.031236758714350388,1.333665377176015
60,frozenset({'Number_of_Dependents_2'}),"frozenset({'Number_of_Properties_2.0', 'Number_of_Bank_Products_1.0'})",0.5106382978723404,0.6221276595744681,0.36127659574468085,0.7075,1.1372264021887823,0.043594386600271595,1.2918712493180577
61,"frozenset({'Number_of_Properties_2.0', 'Number_of_Bank_Products_1.0'})",frozenset({'Number_of_Dependents_2'}),0.6221276595744681,0.5106382978723404,0.36127659574468085,0.5807113543091654,1.1372264021887823,0.043594386600271595,1.1671236680434554
